country,serie,2018,2015,2014,2017,2016,2011,2010,2013,2012,1991,1990,1993,1992,1995,1994,1997,1996,1999,1998,2002,2003,2000,2001,2006,2007,2004,2005,2008,2009
Ecuador,Territorial Emissions,40.304,43.968,43.968,40.304,40.304,36.64,36.64,40.304,32.976,14.656,18.32,25.648,21.984,21.984,14.656,18.32,25.648,21.984,21.984,25.648,25.648,21.984,21.984,29.312,32.976,29.312,29.312,32.976,36.64
Gabon,Territorial Emissions,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664
Kuwait,Territorial Emissions,98.928,91.6,87.936,98.928,98.928,87.936,87.936,95.264,98.928,14.656,36.64,47.632,29.312,54.96,54.96,54.96,51.296,54.96,51.296,58.624,58.624,54.96,58.624,73.28,73.28,62.288,69.616,80.608,87.936
Argentina,Territorial Emissions,194.192,201.52,194.192,197.856,201.52,190.528,186.864,190.528,190.528,117.248,113.584,117.248,120.912,128.24,120.912,139.232,135.568,146.56,139.232,124.576,135.568,142.896,131.904,175.872,175.872,157.552,161.216,186.864,179.536
Cyprus,Territorial Emissions,7.328,7.328,7.328,7.328,7.328,7.328,7.328,7.328,7.328,3.664,3.664,7.328,7.328,7.328,7.328,7.328,7.328,7.328,7.328,7.328,7.328,7.328,7.328,7.328,7.328,7.328,7.328,7.328,7.328
Yemen,Territorial Emissions,10.992,10.992,25.648,10.992,10.992,21.984,21.984,25.648,18.32,7.328,10.992,7.328,10.992,10.992,7.328,10.992,10.992,14.656,10.992,14.656,18.32,14.656,14.656,21.984,21.984,18.32,18.32,21.984,25.648
Malta,Territorial Emissions,0.0,0.0,3.664,0.0,0.0,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664
Bolivia,Territorial Emissions,21.984,18.32,18.32,21.984,21.984,14.656,14.656,18.32,18.32,7.328,7.328,7.328,7.328,10.992,7.328,10.992,10.992,10.992,10.992,10.992,10.992,10.992,7.328,14.656,10.992,10.992,10.992,14.656,14.656
Guatemala,Territorial Emissions,18.32,14.656,14.656,14.656,14.656,10.992,10.992,10.992,10.992,3.664,3.664,7.328,7.328,7.328,7.328,7.328,7.328,7.328,7.328,10.992,10.992,10.992,10.992,10.992,10.992,10.992,10.992,10.992,10.992
Jordan,Territorial Emissions,25.648,25.648,25.648,25.648,25.648,21.984,21.984,21.984,21.984,10.992,10.992,10.992,10.992,14.656,14.656,14.656,14.656,14.656,14.656,14.656,18.32,14.656,14.656,21.984,21.984,18.32,21.984,21.984,21.984
Angola,Territorial Emissions,32.976,32.976,43.968,32.976,32.976,29.312,29.312,32.976,32.976,3.664,3.664,7.328,3.664,10.992,3.664,7.328,10.992,7.328,7.328,10.992,7.328,10.992,10.992,21.984,25.648,18.32,18.32,25.648,29.312
Spain,Territorial Emissions,267.472,271.136,252.816,274.8,260.144,285.792,282.128,252.816,278.464,241.824,230.832,241.824,249.152,267.472,252.816,267.472,252.816,300.448,274.8,333.424,337.088,311.44,311.44,359.072,366.4,351.744,366.4,337.088,296.784
Chad,Territorial Emissions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kyrgyzstan,Territorial Emissions,10.992,10.992,10.992,10.992,10.992,7.328,7.328,10.992,10.992,18.32,21.984,7.328,10.992,3.664,7.328,7.328,7.328,3.664,7.328,3.664,3.664,3.664,3.664,3.664,7.328,7.328,7.328,7.328,7.328
Belarus,Territorial Emissions,65.952,58.624,62.288,62.288,62.288,62.288,62.288,65.952,62.288,95.264,102.592,76.944,91.6,58.624,65.952,62.288,58.624,58.624,58.624,54.96,58.624,54.96,54.96,65.952,65.952,62.288,62.288,65.952,62.288
Bangladesh,Territorial Emissions,84.272,73.28,65.952,80.608,76.944,54.96,54.96,62.288,62.288,14.656,14.656,14.656,14.656,21.984,18.32,21.984,21.984,25.648,21.984,32.976,32.976,25.648,29.312,40.304,43.968,36.64,36.64,43.968,47.632
Sudan,Territorial Emissions,21.984,18.32,14.656,21.984,18.32,14.656,14.656,14.656,14.656,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,7.328,7.328,3.664,7.328,10.992,14.656,10.992,10.992,14.656,14.656
Togo,Territorial Emissions,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.664
Afghanistan,Territorial Emissions,10.992,7.328,7.328,7.328,7.328,10.992,7.328,7.328,10.992,3.664,3.664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.664,0.0,0.0,3.664,7.328
Laos,Territorial Emissions,18.32,7.328,3.664,18.32,18.32,3.664,3.664,3.664,3.664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.664,3.664
Singapore,Territorial Emissions,40.304,62.288,54.96,40.304,36.64,47.632,58.624,54.96,51.296,43.968,43.968,51.296,47.632,40.304,62.288,58.624,47.632,51.296,47.632,47.632,29.312,47.632,47.632,29.312,18.32,29.312,29.312,36.64,58.624
Philippines,Territorial Emissions,135.568,113.584,102.592,131.904,120.912,84.272,84.272,95.264,87.936,43.968,40.304,47.632,47.632,58.624,54.96,69.616,62.288,69.616,69.616,69.616,69.616,73.28,69.616,65.952,69.616,73.28,73.28,76.944,76.944
Bermuda,Territorial Emissions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Samoa,Territorial Emissions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Haiti,Territorial Emissions,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.664,3.664,3.664,3.664,3.664,3.664
Lebanon,Territorial Emissions,25.648,25.648,21.984,25.648,25.648,21.984,18.32,21.984,21.984,7.328,7.328,10.992,10.992,10.992,10.992,14.656,10.992,14.656,14.656,14.656,18.32,14.656,14.656,14.656,14.656,18.32,18.32,18.32,21.984
Belgium,Territorial Emissions,98.928,98.928,95.264,98.928,98.928,102.592,113.584,102.592,102.592,124.576,120.912,120.912,120.912,124.576,124.576,124.576,128.24,124.576,131.904,124.576,128.24,128.24,124.576,124.576,120.912,128.24,124.576,120.912,106.256
